development,country,time,gdp_per_capita,gdp_ppp,population,life_expectancy,employment_ratio,unemployment_ratio,unemployment_program,labor_productivity,labor_tax,gini,poverty_rate,median_income,adjusted_net_saving,co2,public_debt,dependency_ratio,tfr,adjTFR,p90p10,gni_sd,gni_diff,internet_usage,real_wage,upper_isced3,tax_wedge,environmental_tax,fossil_fuels,nuclear,renewables,infrastructure
advanced_economies,AUS,2010,52022.1255961876,991247730860.178,22031750,81.6951219512195,72.37024,5.18257372162,0.82,718.8331225126185,20.9,NA,NA,NA,7.37559168802868,0.451405589418671,20.395,47.9484543670001,1.928,NA,1.928,0.01908359522316377,5.369127516778538,78.92,594.4503102118003,72.79897,14.624928,1.882,65456.527,0,3471.619,3.78
advanced_economies,AUS,2011,52567.7619238659,1015659746915.8,22340024,81.8951219512195,72.65694,5.08447207742,0.81,723.5064114159762,20.5,NA,NA,NA,8.72813184638593,0.417937041804659,24.069,48.5137538612537,1.926,NA,1.926,0.02160966561646966,6.634615384615383,NA,593.6401541318716,74.06167,15.202614,1.824,65785.054,0,4418.236,NA
advanced_economies,AUS,2012,53682.0321439532,1055454950014.55,22733465,82.0463414634146,72.34558,5.22362677127,0.83,742.0222789554414,20.4,NA,0.14,NA,10.3576380951248,0.39865011708385,27.536,49.0671933560653,1.92,NA,1.92,0.023472890175651295,7.314725697786328,83,586.8243314334497,76.48302,16.804752,2.331,64049.86,0,4190.42,3.83
advanced_economies,AUS,2013,54129.9357689465,1082737380758.36,23128129,82.1487804878049,71.97044,5.67089446557,0.87,752.1134478119976,20.8,NA,NA,NA,9.69601707058936,0.350704459045498,30.497,49.6405779919198,1.855,NA,1.855,0.02397207846996666,7.0192307692307665,NA,570.1638350462613,72.03684,16.936088,2.289,63069.761,0,4645.385,NA
advanced_economies,AUS,2014,54679.4164458288,1110164360137.99,23475686,82.3,71.56635,6.08782655169,0.93,764.0380771945028,20.9,NA,0.128,NA,8.21428210788133,0.32830709553447,34.027,50.2597000603197,1.826,NA,1.826,0.024980034040400202,7.49279538904899,85.89,560.5933397560825,71.23394,17.360706,1.832,63471.012,0,4226.812,4
advanced_economies,AUS,2015,55079.8923433681,1134506350410.03,23815995,82.4,72.15796,6.05647464547,0.91,763.3238570404166,21.1,NA,NA,NA,7.2636539126843,0.331396317257849,37.699,50.9250562135116,1.814,NA,1.814,0.023229736702327645,6.417624521072796,NA,547.739937610653,75.55976,17.789948,1.849,63343.515,0,4406.212,NA
advanced_economies,AUS,2016,55728.6822551091,1165939575536.21,24190907,82.4487804878049,72.4315,5.70987038594,0.86,769.3984282406011,21.1,NA,0.121,NA,5.29879173458726,0.328247371475505,40.505,51.7299323519365,1.752,NA,1.752,0.02200936389535986,6.0287081339712945,86.11,541.0889204578868,76.41804,18.03878,1.734,62495.921,0,4853.733,3.82
advanced_economies,AUS,2017,56058.4659514366,1192763305275.68,24601860,82.5,72.98936,5.57190484366,0.85,768.0361350125086,21.1,NA,NA,NA,6.59130259798372,NA,41.115,52.5996705957282,1.741,NA,1.741,0.021939447883575984,5.927342256214141,NA,526.1673770771483,77.26136,20.727101,NA,61766.639,0,4567.292,NA
advanced_economies,AUS,2018,56832.0504820575,1227941303727.16,24982688,82.7487804878049,73.76588,5.30122659896,0.78,770.4381820166384,21.1,NA,0.124,NA,5.97054689124514,NA,41.657,53.4850882364433,1.74,NA,1.74,0.022116834083596076,6.022944550669207,NA,514.5919090435223,78.32576,21.548032,NA,61306.165,0,5587.851,3.97
advanced_economies,AUS,2019,57183.3793476238,1254476578633.38,25365745,82.9,74.32078,5.17970085583,NA,769.4130678879285,21,NA,NA,NA,6.36792806181669,NA,47.472,54.3130054758368,1.657,NA,1.657,0.022070285814948524,6.017191977077352,NA,508.8097091826589,NA,20.755878,NA,64591.979,0,6052.054,NA
advanced_economies,AUT,2010,46858.0432733717,432966279087.502,8363404,80.5804878048781,70.775,6.92473265766,2.17,662.07055137226,34.6,0.3392317227,0.089,NA,13.0689421323164,0.192157466902294,82.418,48.1811872667783,1.44,1.789,1.44,0.019358927971953262,6.602870813397144,72.8891,583.5379509107247,76.5561,36.441865,2.455,34226.142,0,14657.432,3.68
advanced_economies,AUT,2011,48065.3165411898,445621005731.947,8391643,80.9829268292683,71.1,6.72472774634,1.97,676.024142632768,34.8,0.332465468,0.091,NA,13.5623792951687,0.174418480350362,82.178,48.3132363176456,1.43,1.778,1.43,0.019105653421872273,6.494746895893022,75.4407,559.1878821620406,76.4277,37.309647,2.539,32298.709,0,13239.004,NA
advanced_economies,AUT,2012,48172.2381151452,448653214154.817,8429991,80.9365853658537,71.425,6.98083499621,1.96,674.445055864826,34.7,0.3147390474,0.096,NA,12.7565130740069,0.159138817828746,81.661,48.4584344997342,1.44,1.712,1.44,0.01855247333812028,6.101048617731175,79.2846,548.4123776500704,76.97511,37.889715,2.519,31279.494,0,16215.726,4.05
advanced_economies,AUT,2013,47901.366129632,448767641865.85,8479823,81.1365853658537,71.4,7.61519754994,2.15,670.8874808071708,34.1,0.3105474073,0.09,48.07,12.228774653257,0.153873583025184,81.011,48.6484193417367,1.44,1.628,1.44,0.018215248833822903,5.809523809523798,80.8626,538.3187752232457,77.30636,38.555499,2.499,31191.741,0,15696.877,NA
advanced_economies,AUT,2014,47842.7489082353,451735220435.945,8546356,81.490243902439,71.075,8.36588019174,2.18,673.1304805942356,34.3,0.324910738,0.091,NA,12.6104632232994,0.141234013253517,83.758,48.8842940580987,1.46,1.68,1.46,0.017688778177170815,5.619047619047612,80.9946,531.8363866364515,78.10984,38.882707,2.511,29111.543,0,15518.506,3.64
advanced_economies,AUT,2015,47789.3850154389,456318081411.36,8642699,81.190243902439,71.1,9.10251078448,2.21,672.1432491622912,34.3,0.3107297211,0.087,NA,12.4291412540258,0.142153088025314,84.401,49.1656923872968,1.49,1.648,1.49,0.01789259441245172,5.3333333333333455,82.416,530.522166796717,79.0129,39.211539,2.494,29680.396,0,14689.515,NA
advanced_economies,AUT,2016,48215.8905287218,465396242901.273,8736668,81.6414634146342,71.55,9.06183655718,2.25,673.8768767116953,34.2,0.3300631722,0.098,NA,13.8414101397992,0.133500368648374,82.549,49.4317119622618,1.53,1.622,1.53,0.017732024864558212,5.418250950570336,85.0929,531.1560982277424,79.21024,36.822282,2.456,30123.026,0,15358.388,4.08
advanced_economies,AUT,2017,49031.1070286152,476563833452.257,8797566,81.6439024390244,72.2,8.5117016573,2.19,679.101205382482,34.2,0.3160806619,0.094,NA,12.9240254747462,NA,78.608,49.6725857002038,1.52,NA,1.52,0.01639239161104457,4.924242424242431,88.7924,518.8453816027697,79.66258,37.038988,2.511,31076.874,0,15106.749,NA
advanced_economies,AUT,2018,50051.7859126367,488859755725.373,8840521,81.6926829268293,73.025,7.70484908156,2.07,685.4061747707866,33.8,0.3035168401,0.094,49.88,13.402141675235,NA,74.04,49.9239401221367,1.47,NA,1.47,0.016865686096196784,5.014191106906329,88.7752,509.863183725801,NA,37.343571,2.389,30281.529,0,14624.099,4.18
advanced_economies,AUT,2019,50536.6641459983,495795376624.259,8879920,81.7926829268293,73.525,7.34635564833,NA,687.3398727779435,33.7,0.304696611,NA,NA,14.5728704709944,NA,70.513,50.234659177424,1.46,NA,1.46,0.016773069580554294,5.10396975425329,89.9074,505.3821571884663,NA,33.663021,2.357,30844.347,0,15679.611,NA
